VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,0,0,0,0,68601.68,-3811251.6,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,0,0,0,0,144929.24,-3804041.22,-inf,0.0,0.0
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,0,0,0,0,123780.22,-3418303.68,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,0,0,0,0,257032.07,-3261197.94,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,0,0,0,0,257032.07,-3023206.01,-inf,0.0,0.0
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,0,0,0,0,89286.27,-2466635.93,-inf,0.0,0.0
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,0,0,0,0,123780.22,-2177285.08,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,0,0,0,0,257032.07,-2088334.84,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,0,0,0,0,257032.07,-1903739.55,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,0,0,0,0,123880.97,-1773427.14,-inf,0.0,0.0
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,0,0,0,0,123780.22,-1530426.1,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,0,0,0,0,257032.07,-1498161.96,-inf,0.0,0.0
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,0,0,0,0,89286.27,-1478001.42,-inf,0.0,0.0
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999999,0,0,0,0,17587.59,-1460072.3599999999,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,0,0,0,0,68054.7,-1452173.31,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,0,0,0,0,257032.07,-1414552.92,-inf,0.0,0.0
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,0,0,0,0,123780.22,-1399080.15,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,0,0,0,0,257032.07,-1396130.77,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,0,0,0,0,257032.07,-1373128.48,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,0,0,0,0,257032.07,-1317439.48,-inf,0.0,0.0
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,0,0,0,0,89286.27,-1283470.62,-inf,0.0,0.0
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,0,0,0,0,89286.27,-1277758.76,-inf,0.0,0.0
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,0,0,0,0,18544.49,-1208990.72,-inf,0.0,0.0
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,0,0,0,0,89286.27,-1205942.92,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,0,0,0,0,123880.97,-1193404.8,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,0,0,0,0,123880.97,-1190145.33,-inf,0.0,0.0
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,0,0,0,0,38994.78,-1163442.72,-inf,0.0,0.0
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,0,0,0,0,89286.27,-1106876.61,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0,0,0,0,0,48347.26,-1098336.0,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.44,0,0,0,0,257032.07,-1073853.44,-inf,0.0,0.0
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.38,0,0,0,0,38994.78,-1034996.38,-inf,0.0,0.0
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999999,0,0,0,0,20964.81,-1029112.6799999999,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.29,0,0,0,0,48347.26,-1014484.29,-inf,0.0,0.0
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,0,0,0,0,123780.22,-980963.75,-inf,0.0,0.0
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.4,0,0,0,0,50293.62,-976289.4,-inf,0.0,0.0
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.98,0,0,0,0,123780.22,-975128.98,-inf,0.0,0.0
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.98,0,0,0,0,89286.27,-967725.98,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.24,0,0,0,0,144929.24,-953554.24,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.76,0,0,0,0,68601.68,-843206.76,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048,839431.6,0,0,0,0,123880.97,-839431.6,-inf,0.0,0.0
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198,757553.72,0,0,0,0,50293.62,-757553.72,-inf,0.0,0.0
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759,742435.64,0,0,0,0,123780.22,-742435.64,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893,736897.87,0,0,0,0,257032.07,-736897.87,-inf,0.0,0.0
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583,720971.72,0,0,0,0,123780.22,-720971.72,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962,710919.9,0,0,0,0,257032.07,-710919.9,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481,692308.68,0,0,0,0,79528.99,-692308.68,-inf,0.0,0.0
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899,691668.38,0,0,0,0,50293.62,-691668.38,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227,689066.07,0,0,0,0,79528.99,-689066.07,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030,675453.2,0,0,0,0,144929.24,-675453.2,-inf,0.0,0.0
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447,645874.71,0,0,0,0,55551.82,-645874.71,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554,645871.36,0,0,0,0,68601.68,-645871.36,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654,642375.92,0,0,0,0,257032.07,-642375.92,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887,624717.53,0,0,0,0,17932.33,-624717.53,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547,612328.41,0,0,0,0,79528.99,-612328.41,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830,611358.9,0,0,0,0,257032.07,-611358.9,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552,610436.88,0,0,0,0,257032.07,-610436.88,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715,610241.5,0,0,0,0,68601.68,-610241.5,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537,601519.1,0,0,0,0,123880.97,-601519.1,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140,600612.6,0,0,0,0,144929.24,-600612.6,-inf,0.0,0.0
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,9.99,1500.0,88752,599076.0,0,0,0,0,13605.41,-599076.0,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,45.99,750.0,17838,594540.54,0,0,0,0,48347.26,-594540.54,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000.0,35922,594149.88,0,0,0,0,144929.24,-594149.88,-inf,0.0,0.0
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,16.99,750.0,45969,578749.7100000001,0,0,0,0,123780.22,-578749.7100000001,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,34.99,750.0,24088,577389.36,0,0,0,0,48347.26,-577389.36,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,29.99,750.0,25540,575927.0,0,0,0,0,123880.97,-575927.0,-inf,0.0,0.0
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,29.99,750.0,25361,559210.05,0,0,0,0,16978.67,-559210.05,-inf,0.0,0.0
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,34.99,750.0,19910,552900.7000000001,0,0,0,0,16978.67,-552900.7000000001,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750.0,46257,549995.73,0,0,0,0,144929.24,-549995.73,-inf,0.0,0.0
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,24.99,1750.0,27479,544908.57,0,0,0,0,18544.49,-544908.57,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750.0,19219,538516.38,0,0,0,0,68601.68,-538516.38,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,25.99,750.0,28421,526072.71,0,0,0,0,257032.07,-526072.71,-inf,0.0,0.0
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,15.99,750.0,44330,521320.8,0,0,0,0,8549.55,-521320.8,-inf,0.0,0.0
